ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-629N|refseq:NP_000864|uniprotkb:P13598	 DIP-478N|uniprotkb:P05107	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9153399	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-59E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-328N|refseq:NP_612815|uniprotkb:Q07817	 DIP-328N|refseq:NP_612815|uniprotkb:Q07817	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:9002522	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-63E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 -	 -	 -	-	MI:0013(biophysical)	-	pmid:9144199	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-64E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	 DIP-232N|uniprotkb:Q07812	 -	 -	 -	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pmid:18981409|pmid:18981409|pmid:9194558	taxid:9606	taxid:9606	MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-65E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-393N|uniprotkb:P54920	 DIP-389N|uniprotkb:P46459	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9144278	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-70E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-31N|refseq:NP_002976|uniprotkb:P13501	 DIP-400N	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8976200	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-71E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-391N|uniprotkb:P48061	 DIP-400N	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8976200	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-72E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-161N|refseq:NP_001789|uniprotkb:P24941	 DIP-129N|refseq:NP_000839|uniprotkb:P28161	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8606778	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-73E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-146N|uniprotkb:P49716	 DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	 -	 -	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pmid:7594592|pmid:7594592	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-75E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-953N|refseq:NP_003111|uniprotkb:P17947	 DIP-53N|refseq:NP_057869|uniprotkb:P17095	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7594592	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-76E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-169N|refseq:NP_003137|uniprotkb:Q08945	 DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:7594592	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-77E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-285N|refseq:NP_003780|uniprotkb:Q15628	 DIP-407N|refseq:NP_001056|uniprotkb:P19438	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9129204	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-78E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-468N|uniprotkb:P39429	 DIP-407N|refseq:NP_001056|uniprotkb:P19438	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9129204	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-79E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-407N|refseq:NP_001056|uniprotkb:P19438	 DIP-286N|refseq:NP_003815|uniprotkb:Q13158	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9129204	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-80E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-93N|refseq:NP_000868|uniprotkb:P14778	 DIP-85N|refseq:NP_032715|uniprotkb:P25799	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9020361	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-81E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-451N|uniprotkb:Q91407	 DIP-406N|refseq:NP_002498|uniprotkb:P08138	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:9204927	taxid:7955	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-82E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-451N|uniprotkb:Q91407	 DIP-346N|refseq:NP_002518|uniprotkb:P20783	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:7972023	taxid:7955	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-83E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1050N|refseq:NP_005334|uniprotkb:P01112	 DIP-144N|uniprotkb:P20936	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:9219684	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-84E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-405N|refseq:NP_005219|uniprotkb:P00533	 DIP-184N|refseq:NP_002077|uniprotkb:P29354	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:1322798	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-85E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-184N|refseq:NP_002077|uniprotkb:P29354	 DIP-450N|uniprotkb:P52583	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:1322798	taxid:9606	taxid:93934	MI:0218(physical interaction)	MI:0465(dip)	DIP-86E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-474N|refseq:NP_000567|uniprotkb:P01584	 DIP-175N|uniprotkb:P29466	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:8999548	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-88E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-483N|uniprotkb:P01579	 DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:8999548	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-89E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-950N|refseq:NP_032386|uniprotkb:P70380	 DIP-175N|uniprotkb:P29466	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:8999548	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-90E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-950N|refseq:NP_032386|uniprotkb:P70380	 DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:8999548	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-91E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-403N|refseq:NP_000796|uniprotkb:P01350	 DIP-229N|refseq:NP_795344|uniprotkb:P32239	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:8824290	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-95E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-664N|refseq:NP_037101|uniprotkb:P35570	 DIP-403N|refseq:NP_000796|uniprotkb:P01350	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:8824290	taxid:10116	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-96E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-253N|refseq:NP_003168|uniprotkb:P43405	 DIP-295N|uniprotkb:Q15349	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:9218456	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-97E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1037N|uniprotkb:P07996	 DIP-879N	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9169439	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-98E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-500N|uniprotkb:P79802	 DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	 -	 -	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pmid:9219695|pmid:9219695	taxid:30608	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-99E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-26N|refseq:NP_004521|uniprotkb:P08253	 DIP-190N|uniprotkb:Q13753	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:9211848	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-101E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1057N|uniprotkb:P10242	 DIP-235N|uniprotkb:P38531	 -	 -	 -	-	MI:0018(two hybrid)|MI:0401(biochemical)|MI:0013(biophysical)	-	pmid:9211854|pmid:9211854|pmid:9211854	taxid:9606	taxid:9031	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-102E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-267N|refseq:NP_446309|uniprotkb:Q62622	 DIP-22N|refseq:NP_001959|uniprotkb:P06730	 -	 -	 -	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)	-	pmid:7939721|pmid:7939721|pmid:7939721	taxid:10116	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-114E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-499N|uniprotkb:P41235	 DIP-61N|refseq:NP_036801|uniprotkb:P15257	 -	 -	 -	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pmid:9204893|pmid:9204893	taxid:9606	taxid:10116	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-115E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-331N|uniprotkb:P36956	 DIP-987N|uniprotkb:Q60431	 -	 -	 -	-	MI:0013(biophysical)|MI:0045(experimental interaction detection)	-	pmid:8643593|pmid:8643593	taxid:9606	taxid:10030	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-116E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-987N|uniprotkb:Q60431	 DIP-263N|uniprotkb:Q12772	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)	-	pmid:8643593|pmid:8643593	taxid:10030	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-117E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-562N|refseq:NP_038570|uniprotkb:P04187	 DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	 -	 -	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7566124|pmid:7566124	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-118E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	 DIP-38N|refseq:NP_001609|uniprotkb:P09874	 -	 -	 -	-	MI:0013(biophysical)|MI:0071(molecular sieving)|MI:0401(biochemical)	-	pmid:7596430|pmid:7596430|pmid:7596430	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-119E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-392N|uniprotkb:Q00987	 DIP-368N|uniprotkb:P04637	 -	 -	 -	-	MI:0254(genetic interference)|MI:0114(x-ray crystallography)|MI:0019(coimmunoprecipitation)	-	pmid:8875929|pmid:8875929|pmid:8875929	taxid:9606	taxid:9606	MI:0254(genetic interference)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-120E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 DIP-226N|uniprotkb:P14859	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pmid:8530384|pmid:8530384	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-121E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
